dimension,epsilon,delta_t,seed,escaped,escape_index,target_hit,outer_hit,escape_time,attempted_steps,rejected_steps
3,0.12095786215188022,0.00029261608832706516,1834644993,True,1,False,True,0.11419630464300815,391,0
3,0.12095786215188022,0.00029261608832706516,2902295328,True,0,True,False,0.10295699354043358,352,39
3,0.12095786215188022,0.00029261608832706516,2149595284,True,1,False,True,0.08863006193430485,303,14
3,0.12095786215188022,0.00029261608832706516,2439763194,True,0,True,False,0.00400440516069486,14,0
3,0.12095786215188022,0.00029261608832706516,1453172181,True,1,False,True,0.23499134640178296,804,7
3,0.12095786215188022,0.00029261608832706516,860159658,True,0,True,False,0.009645456243523096,33,1
3,0.12095786215188022,0.00029261608832706516,4179440545,True,0,True,False,0.0008390255282687319,3,0
3,0.12095786215188022,0.00029261608832706516,2010289036,True,1,False,True,0.13093990507468062,448,28
3,0.12095786215188022,0.00029261608832706516,1846418198,True,1,False,True,0.22288153439434105,762,7
3,0.12095786215188022,0.00029261608832706516,1907803950,True,1,False,True,0.17201877786367376,588,0
3,0.12095786215188022,0.00029261608832706516,836652062,True,1,False,True,0.12453584066121355,426,3
3,0.12095786215188022,0.00029261608832706516,1347400419,True,1,False,True,0.06574069959961656,225,5
3,0.12095786215188022,0.00029261608832706516,2223520955,True,1,False,True,0.10202809863775363,349,5
3,0.12095786215188022,0.00029261608832706516,595465664,True,1,False,True,0.17514177410985907,599,5
3,0.12095786215188022,0.00029261608832706516,3141716479,True,1,False,True,0.08070868480812665,276,11
3,0.12095786215188022,0.00029261608832706516,2213268066,True,1,False,True,0.17200558613292166,588,5
3,0.12095786215188022,0.00029261608832706516,1690844123,True,1,False,True,0.0449425491126521,154,0
3,0.12095786215188022,0.00029261608832706516,2777203020,True,0,True,False,0.033634779784699254,115,0
3,0.12095786215188022,0.00029261608832706516,2947781241,True,1,False,True,0.1748368929759856,598,4
3,0.12095786215188022,0.00029261608832706516,3951084847,True,1,False,True,0.08953135083188586,306,6
3,0.12095786215188022,0.00029261608832706516,422732727,True,0,True,False,0.001456131444005296,5,0
3,0.12095786215188022,0.00029261608832706516,1321351339,True,0,True,False,0.009162797882132874,32,0
3,0.12095786215188022,0.00029261608832706516,1786957196,True,1,False,True,0.11351194862012232,388,1
3,0.12095786215188022,0.00029261608832706516,145084886,True,1,False,True,0.1253469741622876,429,0
3,0.12095786215188022,0.00029261608832706516,3369363192,True,1,False,True,0.20668375179147258,707,25
3,0.12095786215188022,0.00029261608832706516,3250426860,True,1,False,True,0.2503570480890055,856,22
3,0.12095786215188022,0.00029261608832706516,3194450569,True,0,True,False,0.0057756261476990195,20,0
3,0.12095786215188022,0.00029261608832706516,4057010397,True,1,False,True,0.22969170402421057,785,23
3,0.12095786215188022,0.00029261608832706516,2465811094,True,1,False,True,0.11015341012684508,377,8
3,0.12095786215188022,0.00029261608832706516,2561061969,True,1,False,True,0.2751798610087352,941,8
3,0.12095786215188022,0.00029261608832706516,3127939257,True,1,False,True,0.14598449809663308,499,17
3,0.12095786215188022,0.00029261608832706516,3042071096,True,1,False,True,0.11405428940803847,390,31
3,0.12095786215188022,0.00029261608832706516,2700251018,True,1,False,True,0.10285912155474897,352,9
3,0.12095786215188022,0.00029261608832706516,2189493349,True,0,True,False,0.002696817789557611,10,0
3,0.12095786215188022,0.00029261608832706516,269940412,True,1,False,True,0.03588445035079048,123,0
3,0.12095786215188022,0.00029261608832706516,3523124742,True,1,False,True,0.06094739742667405,209,0
3,0.12095786215188022,0.00029261608832706516,703389788,True,1,False,True,0.1002833608925552,343,0
3,0.12095786215188022,0.00029261608832706516,979563602,True,0,True,False,0.013325689695032185,46,0
3,0.12095786215188022,0.00029261608832706516,3695369113,True,1,False,True,0.22799040142267707,780,13
3,0.12095786215188022,0.00029261608832706516,3558419422,True,0,True,False,0.022671274741380112,78,2
3,0.12095786215188022,0.00029261608832706516,712319625,True,1,False,True,0.13380630426574622,458,0
3,0.12095786215188022,0.00029261608832706516,631174851,True,0,True,False,0.00790515002547688,28,1
3,0.12095786215188022,0.00029261608832706516,2600695449,True,1,False,True,0.05490606510015309,188,0
3,0.12095786215188022,0.00029261608832706516,3636781580,True,1,False,True,0.10589564463545609,362,3
3,0.12095786215188022,0.00029261608832706516,471644613,True,0,True,False,0.0030411655966170134,11,0
3,0.12095786215188022,0.00029261608832706516,821643616,True,1,False,True,0.2684967288382065,918,13
3,0.12095786215188022,0.00029261608832706516,4193343728,True,0,True,False,0.005468936429958487,19,0
3,0.12095786215188022,0.00029261608832706516,2227700487,True,1,False,True,0.15341148510204844,525,4
